,title,year,Genre,Tags,Score,Watchers,Main Cast,img url,kdrama_id,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop
2233,Vampire Idol,2011.0,"Comedy, Drama, Supernatural, Sitcom","""Roommates Relationship,"", Vampire Fiction,, Vampire Male Lead,, Melodrama",7.3,,"Lee Jung, Lee Soo Hyuk, Bang Min Ah, Kang Min Kyung, Lee Yoo Bi, Chun Woo Hee",https://i.mydramalist.com/RBrJPc.jpg?v=1,,,,,,79.0,,,,,GMMTV,Not Yet Rated,"A naive vampire prince struggles to become a global pop idol in this melodramatic youth sitcom.\r Prince Vampire has to navigate the shark-infested waters of mundane adolescence, all in order to fulfill his lifelong dream of fame and glory. ,",,
2234,Vampire Prosecutor,2011.0,"Action, Mystery, Drama, Supernatural","Supernatural Power,, Police Procedural,, Investigation,, Death,, Murder,, Violence,, Clairvoyant Male Lead,, Vampire Fiction,, Vampire Male Lead,, Detective Fiction",8.2,,"Yeon Jung Hoon, Lee Young Ah, Lee Won Jong, Kim Joo Young, Jang Hyun Sung, Park Jae Hoon",https://i.mydramalist.com/9mOD3c.jpg?v=1,,,,,,12.0,,,,,"Apple TV, Prime Video, Viki, 옛드 : 옛날 드라마 드라맛집",15+ - Teens 15 or older,"Prosecutor Min Tae Yeon is bitten by somebody and becomes a Vampire. Tae Yeon has to live as vampire and survives by drinking the blood of dead people and still lives as a righteous prosecutor. ,",,
2235,Vampire Prosecutor 2,2012.0,"Action, Mystery, Drama, Supernatural","Supernatural Power,, Police Procedural,, Death,, Investigation,, Murder,, Violence,, Clairvoyant Male Lead,, Vampire Fiction,, Prosecutor Male Lead,, Clairvoyance",8.3,,"Yeon Jung Hoon, Lee Young Ah, Lee Won Jong, Lee Kyung Young, Kim Joo Young, Gong Jung Hwan",https://i.mydramalist.com/AB71Lc.jpg?v=1,,,,,,11.0,,,,,"YOUKU, iQIYI, Viki",13+ - Teens 13 or older,"In the second season of “Vampire Prosecutor,” Min Tae Yeon is back as the prosecutor who heads up a new division that investigates unsolved murder cases. No one, except for Detective Hwang Soon Bum, knows that Tae Yeon was bitten seven years ago and acquired vampire powers. Together, they solve murder cases, and each time Tae Yeon uses his “powers” to find leads on cases that seem unsolvable. But the one thing he can’t solve is: who was the vampire/serial killer that turned him seven years ago? And what happens when Jung In becomes suspicious of Tae Yeon’s “questionable” tactics in solving cases., he can’t solve is: who was the vampire/serial killer that turned him seven years ago? And what happens when Jung In becomes suspicious of Tae Yeon’s “questionable” tactics in solving cases.",,
2236,Vengeance of the Bride,2022.0,"Thriller, Romance, Drama, Melodrama","Soap Opera,, Chairman/Chairwoman Supporting Character,, Housekeeper Supporting Character,, Entrepreneur Female Lead,, Detective Supporting Character,, Reporter Supporting Character,, Picaresque,, Time Skip,, Smart Female Lead,, Hidden Identity",7.3,,"Park Ha Na, Kang Ji Sub, Park  Yoon Jae, Oh Seung Ah, Son Chang Min, Choi Soo Rin",https://i.mydramalist.com/4X5EY_4c.jpg?v=1,c8d621c97dbe4e9ca19a24652b82745f,['Park Ki Hyun'],['Song Jung Rim'],South Korea,Drama,102.0,2400.0,2022-10-10,2023-03-09,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2,15+ - Teens 15 or older,"Eun Seo Yeon is a warm and friendly woman. She runs a small business that produces cosmetics and sells them on the internet. She also works as a staff member at a make-up salon. In her past, she and her parents were in a very close relationship with Kang Baek San. He now runs a large cosmetics company. One day, Eun Seo Yeon learns that Kang Baek San is responsible for her parents’ tragedy. She becomes determined to take revenge on him for his past deeds. Following her plan, she marries Kang Tae Poong, who is Kang Baek San’s son.(Source: AsianWiki)",6947.0,5730.0
2237,Victory For Tomorrow,2015.0,,,,,,,13090f5150a84af2bbd190745380eb36,['Jung Ji In'],['Hong Seung Hee'],South Korea,Drama,130.0,2100.0,2015-11-02,2016-04-29,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC,15+ - Teens 15 or older,"The most fragrant of all perfumes in the world is said to be made from roses that grow in a deep, treacherous mountain in the Balkans and plucked during the coldest nights. Beautiful pearls are painfully taken from clams by cracking them open. Han Seung Ri finds her life spiraling out of control after her dad's death that ruins the family finances. The man she loved betrays her and she has a miscarriage not too long afterward. After hitting rock bottom, she climbs out of her misery to take over the family business that her dad ran and marches forward to reach her dreams. Hopeful that tomorrow will be better than yesterday, she endures the pain and anguish to reach an outcome that is sweeter due to the ordeal she had to overcome to attain it.(Source: MBC)",51143.0,9425.0
2238,Vincenzo,2021.0,"Comedy, Law, Crime, Drama","Mafia,, Revenge,, Slight Romance,, Eccentric Female Lead,, Smart Male Lead,, Injustice,, Antihero,, Black Comedy,, Corrupt Legal System,, Badass Male Lead",9.0,,"Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon",https://i.mydramalist.com/vAnBe_4c.jpg?v=1,7dc2a52cdf954d8e9c24178ee0d00cbd,['Kim Hee Won'],['Park Jae Bum'],South Korea,Drama,20.0,5100.0,2021-02-20,2021-05-02,"Saturday, Sunday",Netflix tvN,15+ - Teens 15 or older,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.(Source: Netflix, AsianWiki)",62.0,17.0
2239,Vincenzo ,2023.0,"Comedy, Law, Crime, Drama","Revenge, Mafia, Eccentric Female Lead, Smart Male Lead, Slight Romance, Injustice, Bromance, Badass Male Lead, Father-Daughter Relationship, Smart Female Lead ",9.0,"113,443","Song Joong Ki, Ok Taec Yeon, Jeon Yeo Been",,,,,,,20.0,85.0,2021-02-20,2021-05-02,"Saturday, Sunday",,,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.",58.0,18.0
2240,Virtual Excitement,2016.0,,,,,,,437da75ad9724193b21af661062fdb18,,,South Korea,Drama,6.0,360.0,2016-03-11,2016-03-11,,,Not Yet Rated,"On his first day working in a company, Kim Min Kyu is suddenly asked by a person if he knows himself.(Source: MyDramaList) ",49236.0,14587.0
2241,Vivid Romance,2017.0,"Comedy, Romance, Drama, Fantasy","Side Effect,, Human Experimentation,, Break Up,, Smart Male Lead,, Special Power,, Web Series,, Makeover,, Student Male Lead,, Drugs,, ""Neighbors Relationship""",7.4,,"Yoon Shi Yoon, Jo Soo Hyang, Kang Ki Young, Jang Hee Ryung, Kim Min Soo, Woo Hyun",https://i.mydramalist.com/VKAjEc.jpg?v=1,86395f96c52848958879dfe1949b84f3,['Park Sang Hoon'],"['Park Eun Young', 'Park Hee Kwon']",South Korea,Drama,21.0,600.0,2017-02-16,2017-03-02,"Monday, Tuesday, Wednesday, Thursday, Friday",Naver TV Cast,15+ - Teens 15 or older,"In Sung is an unemployed college grad trying to become a police officer for the last four years, and he is suddenly dumped by his girlfriend who does not give him any explanation. He then gets fired from his part-time job without any pay and gets kicked out from his tiny room after missing a rent payment. On the brink of despair, In Sung decides to take a job as a drug test volunteer for a pharmaceutical company because the pay is good. The drug is a generic version of a hit drug that had its patent recently expired. But he suffers an unpredicted side effect from the drug that gives him superhuman intelligence and strength. He is suddenly able to accomplish tasks that were nearly impossible for him to achieve before and instantly becomes an attractive man as he can win over any girl he wants…(Source: MBC)",6563.0,1590.0
2242,Voice,2017.0,"Thriller, Mystery, Psychological","Strong Female Lead,, Murder,, Aggressive Male Lead,, Special Power,, Mad Dog,, Death,, Investigation,, Suspense,, Character Development,, Hot-Tempered Male Lead",8.5,,"Jang Hyuk, Lee  Ha Na , Baek Chun Ki, Ye Sung, Son Eun Seo, Kim Jae Wook",https://i.mydramalist.com/BjEp1c.jpg?v=1,2222ea959cf1499db52d6dcafb2196f5,['Kim Hong Seon'],['Ma Jin Won'],South Korea,Drama,16.0,3600.0,2017-01-14,2017-03-12,"Saturday, Sunday",OCN,15+ - Teens 15 or older,"Popular detective Moo Jin Hyuk who is filled with guilt for his wife’s death, works with professional voice profiler Kang Kwon Joo, whose father is killed, to solve a different crime, chasing for the serial killer responsible for the deaths of their family members.(Source: tvN Asia) ",492.0,276.0
