,title,year,Genre,Tags,Score,Watchers,Main Cast,img url,kdrama_id,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop
0,1% of Anything,2003.0,"Comedy, Romance","Arranged Relationship,, Love/Hate Relationship,, Possessive Male Lead,, School Setting,, Adapted From A Web Novel,, Teacher Female Lead,, Kind Female Lead,, Arrogant Male Lead,, Student,, Rich Man/Poor Woman",7.0,,"Kang Dong Won, Kim Jung Hwa, Han Hye Jin, Lee Byung Wook, Kim Ji Woo, Kim Seung Min",https://i.mydramalist.com/NdPpYc.jpg?v=1,,,,,,26.0,,,,,Netflix,13+ - Teens 13 or older,"Kim Jung Hwa is a young and sincere middle school teacher, who has little interest in money. She is also extremely warm-hearted and loves to help other people. When she helps carry an elderly man\s belongings from the train to another location, the elderly man is extremely thankful. This grandfather turns out to be the extremely rich owner of a well-known conglomerate. His grandson, Kang Dong Won is a quick-tempered businessman who rivals his grandfather, but in an almost comical way. In an order to ""tame"" his favourite grandson, the grandfather agrees to give his entire fortune to the person who marries Kim Jung Hwa, therefore forcing Kang to meet the girl whom his grandfather chose. Although at first, Kim and Kang don\t get along because of Kang\s extremely cute but bad temper, their arguments bring them closer together. Kang starts to get jealous when Kim\s fellow teacher starts liking her too. Through the clever conditions that Kang\s grandfather makes, Kang starts a relationship he does not look forward too. However, what looked like a relationship that would 99% not work out, turns out to be the ""perfect"" match, the 1% chance. Adapted from the web novel ""Something About 1%"" (1% ) by Hyun Go Woon ()., rivals his grandfather, but in an almost comical way. In an order to ""tame"" his favourite grandson, the grandfather agrees to give his entire fortune to the person who marries Kim Jung Hwa, therefore forcing Kang to meet the girl whom his grandfather chose. Although at first, Kim and Kang don\t get along because of Kang\s extremely cute but bad temper, their arguments bring them closer together. Kang starts to get jealous when Kim\s fellow teacher starts liking her too. Through the clever conditions that Kang\s grandfather makes, Kang starts a relationship he does not look forward too. However, what looked like a relationship that would 99% not work out, turns out to be the ""perfect"" match, the 1% chance. Adapted from the web novel ""Something About 1%"" (1% ) by Hyun Go Woon ().",,
1,100 Days My Prince,2018.0,"Historical, Comedy, Romance, Drama","Amnesia,, Hidden Identity,, Marriage Of Convenience,, Joseon Dynasty,, Fake Marriage,, Eccentric Male Lead,, Hardworking Female Lead,, Double Identity,, Strong Female Lead,, Riches To Rags",8.3,,"Doh Kyung Soo, Nam Ji Hyun, Kim Seon Ho, Han So Hee, Jo Sung Ha, Kim Jae Young",https://i.mydramalist.com/p0yXrc.jpg?v=1,53c858d11a284859a1f50699b5aa6f51,"['Lee Jong Jae', 'Nam Sung Woo']",['Noh Ji Sul'],South Korea,Drama,16.0,4500.0,2018-09-10,2018-10-30,"Tuesday, Monday",tvN,15+ - Teens 15 or older,"Lee Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply-rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable age must wed before the age of 28.Hong Shim is a strong, intelligent woman who supports herself and her father. After an attempt on his life, Crown Prince Lee Yul is severely injured and finds himself under the care of the Hong household. He’s experiencing temporary amnesia, and now unaware of his identity, he is free to wander at will as a commoner.Due to the law, he himself passed, Hong Shim, now the oldest unmarried woman in her village, must marry or face punishment from officials. Lee Yul proposes to Hong Shim that they ought to marry. Can their budding romance withstand Lee Yul’s eventual recovery, with his memory fully intact?(Source: AJ and Lee C at MyDramaList)",882.0,140.0
2,100% Era,2021.0,"Romance, Youth","COVID-19,, Rivalry,, Steamy Kiss,, Miniseries,, High School,, Web Series,, Love/Hate Relationship,, Mother-Daughter Relationship,, Student Female Lead,, Student Male Lead",7.5,,"Yoo Jung Woo, Lee Soo Min, Yeo Ji Min, Logan, Lee Seung Yeon, Pyun Kang Yoon",https://i.mydramalist.com/EyqL5_4c.jpg?v=1,4043734ca3a344ceaa5138361f7aafa9,,,South Korea,Drama,8.0,900.0,2021-01-07,2021-02-25,Thursday,Netflix,15+ - Teens 15 or older,"100% Era imagines the post-corona future. How the lives of kids born during the pandemic will look like? What will humanity and teens look like in 2044? Our teenagers living in a more competitive world, where the world no longer needs human hands. For humans, the competition to rise to the top is intensifying. How to secretly love children in the era when schools disappeared and contactless.Hee Jae and Shi Dae attend the same top rank education academy. It focuses on training kids to score 100% on tests, while kids who score below 90% get expelled. In such an environment, Shi Dae and Hee Jae spend their teenage years and grow together.",5532.0,4013.0
3,10000 Ways to Become a Couple,2017.0,,,,,,,fa4d42d8b25a42e0b962fe4e258544b5,,,South Korea,Drama,5.0,600.0,2017-05-31,2018-03-07,Wednesday,,Not Yet Rated,"‘Are we doing alright?’ From the first fight to the feeling of stuck in a rut, the drama portrays ups and downs of a relationship that everyone can relate. (Source: ONDemand Korea) ",99999.0,99999.0
4,109 Strange Things,2017.0,"Romance, Youth, Sci-Fi","Short Length Series,, Web Series,, Student Female Lead,, School Setting,, Young Adult Female Lead,, University,, Miniseries,, Android,, Interspecies Romance,, Artificial Intelligence",6.6,,"Choi  Tae Joon, Jung Chae Yeon, Cho Yi Hyun, Kim Yong Jin, Kim  Tae Yoon, Song Tae Woo",https://i.mydramalist.com/A7eQvc.jpg?v=1,fae1a9e517af4a499dd4e5ce17caacef,,,South Korea,Drama,6.0,780.0,2017-02-01,2017-02-16,"Wednesday, Thursday",Naver TV Cast,Not Yet Rated,"When a robot comes from the future, will a philosophy major understand the significance of it?KDI-109, a robot from the future. He ends up living in the home of Shin Ki Won, a fourth-year college student who is studying philosophy. As Ki Won wrestles with life’s big questions and finding gainful employment after college, can KDI-109 help her find the answers?(Source: IMDb) ",8872.0,3517.0
5,18 Again,2020.0,"Romance, Life, Drama, Fantasy","Second Chance,, First Love,, Father-Son Relationship,, Hardworking Female Lead,, Father-Daughter Relationship,, Mother-Daughter Relationship,, Life Lesson,, Becoming Young,, Hidden Identity,, Character Development",8.7,,"Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon",https://i.mydramalist.com/xnNnq_4c.jpg?v=1,d16ff503ce6a4623a631eaeb99e49e15,['Ha Byung Hoon'],"['Kim Do Yeon', 'Ahn Eun Bin', 'Choi Yi Ryun']",South Korea,Drama,16.0,4200.0,2020-09-21,2020-11-10,"Monday, Tuesday",jTBC,15+ - Teens 15 or older,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn. (Source: Viki)~~ Remake of the American film “17 Again"" [2009].",234.0,115.0
6,18 Again ,2023.0,"Romance, Life, Drama, Fantasy","Second Chance, First Love, Father-Son Relationship, Hardworking Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Life Lesson, Becoming Young, Hidden Identity, Character Development",8.7,"55,291","Kim Ha Neul, Lee Do Hyun, Yoon Sang Hyun",,,,,,,16.0,70.0,2020-09-21,2020-11-10,"Monday, Tuesday",,,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.
Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn.",203.0,122.0
7,18 vs. 29,2005.0,"Comedy, Romance, Drama","Amnesia,, Love Triangle,, Older Woman/Younger Man,, Car Accident,, Enemies To Lovers,, Marriage",7.0,,"Park Sun Young, Ryu Soo Young, Park Eun Hye, Lee  Han Wi, Lee Sang Woo, Jung Da Hye",https://i.mydramalist.com/73vobc.jpg?v=1,,,,,,16.0,,,,,"Viki, WeTV",15+ - Teens 15 or older,"Yu Hye Chan is 29 years old and married to Kang Bong Man, her old classmate from high school whom she initially despised and hated but later fell for. The story opens with her decision to get a divorce, but on the way to the courthouse, she has a car accident. When she wakes up at the hospital, she has no memory of her life past the age of 18. Her husband tries to support her since she is now helpless, and as she begins to recover, she finds herself falling for him all over again, but as she recovers physically, she also begins to regain her memory and along with all of the reasons why she planned to leave. Will they be able to work out their differences, or will this spell the end for their marriage?, tries to support her since she is now helpless, and as she begins to recover, she finds herself falling for him all over again, but as she recovers physically, she also begins to regain her memory and along with all of the reasons why she planned to leave. Will they be able to work out their differences, or will this spell the end for their marriage?",,
8,187 cm Male Friend vs 155 cm Female Friend,2020.0,,,,,,,6d273cc558264686b285d56a027670f5,,,South Korea,Drama,3.0,420.0,2020-04-11,2020-12-05,,,Not Yet Rated,"A short, cute drama about friends-to-lovers couple, with a height difference of 30 cm. Female lead is cute girl called Lee Seul and she's 155 cm, male lead and her childhood bestfriend is Min Ki, who's 187 cm tall.(Source: IceTea_Aiste on MyDramaList) ",54666.0,11142.0
9,20+1,2019.0,,,,,,,d52760463b89456b82774ce735b6aac7,,,South Korea,Drama,6.0,420.0,2019-02-13,2019-03-02,"Wednesday, Saturday",Naver TV Cast,Not Yet Rated,,57629.0,99999.0
10,2021 Summer Drama Collage: Monster Mansion,2021.0,,,,,,,2bc3dc40af72441abde7e41d4164e260,['Jo Ba Reun'],,South Korea,Drama,8.0,1500.0,2021-07-30,2021-08-19,,Genie TV,18+ Restricted (violence & profanity),An anthology work that captures the strange and eerie real-life horror that happens while webtoon writer Ji Woo reports on the abandoned apartment Gwanglim Mansion.(Source: Korean = Naver || Translation = MyDramaList) ,51597.0,7797.0
11,20th Century Boy and Girl,2017.0,"Comedy, Romance, Life","Friends To Lovers,, Sismance,, First Love,, Love Triangle,, Multiple Couples,, Calm Male Lead,, Bromance,, Flashback To Past,, Rich Female Lead,, Fan Female Lead",7.8,,"Han Ye Seul, Kim Ji Suk, Lee Sang Woo, Ryu Hyun Kyung, Lee Sang Hee, Ahn Se Ha",https://i.mydramalist.com/V42myc.jpg?v=1,3d0a5b22838c46f0b64f05bfa22e7baa,['Lee Dong Yoon'],['Lee Seon Hye'],South Korea,Drama,32.0,2100.0,2017-10-09,2017-11-28,"Monday, Tuesday",MBC,15+ - Teens 15 or older,"A top actress/singer who has an innocent soul in contrast to her gorgeous look, a slender airline stewardess who loves food and a young attorney who luckily landed a job at a private law firm but finds herself working long hours... All three of these women were members of the Bongo clique from the time they used to live in the same Seoul Mansion apartment complex. They still stay in touch despite their busy lives. Appearance-wise, one friend seems to have a successful acting career, and the other two work in reputable professions in the airline industry and law, but they deal with a lot of stress in their lives. Their lives as thirties in the big city of Seoul is a stressful one and they try to rekindle the lives they had when they were in their innocent teens while also searching for love and maintaining their deep friendship.(Source: MBC America)",3014.0,1221.0
12,21st Century Family,2012.0,"Comedy, Romance, Family, Sitcom","Former Celebrity Male Lead,, Married Female Lead,, Married Male Lead,, Age Gap Drama Life,, Age Gap Real Life,, Miniseries",7.4,,"Lee Deok Hwa, Oh Yoon Ah, Lee Mi Do, Kim Soo Jin, Oh Seung Hyun, Lee Hoon",https://i.mydramalist.com/9O5lgc.jpg?v=1,,,,,,8.0,,,,,Viki,Not Yet Rated,"""Here comes the story of a heart-warming and down-to-earth modern family! Duk Hwa, a former celebrity who married a hot wife who is 20 years younger than him. Keum Pyo, a first-born daughter in her second marriage after a failure of her first. Eun Pyo, a second daughter whos down-to-earth and born to love a man. Dong Pyo, a bigmouth phony-baloney living his restless youth. These outrageous members reveal their stories as their family feud unfolds."", their family feud unfolds.",,
13,22 Flower Road,2019.0,"Romance, Youth, Drama","Share House Setting,, ""Housemates Relationship,"", Chasing A Dream,, Cohabitation,, Web Series,, Multiple Couples,, Love/Hate Relationship,, First Love,, Love Triangle,, Friendship",7.6,,"Kim Ye Eun, Kang Yul, Hong Bi Ra, Jeong Soo Hyun, Ahn Jung Hun, Jung Hwi Young",https://i.mydramalist.com/j8NyBc.jpg?v=1,22c5b3ec081d49b48d8c8d0e5e0e2754,,,South Korea,Drama,12.0,1200.0,2019-11-05,2020-01-21,Tuesday,"meWATCH, Netflix",Not Yet Rated,"""22 Flower Road"" is a webdrama about young people who share what they have and do not have with each other and become adults. It is expected to bring about realistic empathy with its highlights through the youthful lives of five young people.(Source: HanCinema) ",4599.0,7308.0
14,28 Faces of the Moon,2016.0,,,,,,,c9b06582bf944541b0f98a77287202be,,,South Korea,Drama,8.0,600.0,2016-06-15,2016-06-16,Thursday,,Not Yet Rated,A man’s life spirals downward after his fiance dies just days before their wedding. ,9239.0,6478.0
15,2PM Campus,2022.0,,,,,,,de4dda27c21048079261b84b87d29e6d,,,South Korea,Drama,4.0,1200.0,2022-12-04,2022-12-14,,,Not Yet Rated,"""The hottest time of the day, we are in it.""Our story made by women in their 20s, talking about lively topics that women in their 20s can worry about.(Source: 오후 두 시의 캠퍼스  YouTube) ",47838.0,99999.0
16,3 AM,2017.0,,,,,,,971757ad8d7043cc8d4a71c46283f382,,,South Korea,Drama,6.0,360.0,2017-03-18,2017-04-22,Saturday,Naver TV Cast,Not Yet Rated,,57216.0,99999.0
17,3 AM Season 2,2017.0,,,,,,,858cd06eae474ce29430f435dc54abb0,,,South Korea,Drama,6.0,600.0,2017-10-22,2017-11-25,Saturday,Naver TV Cast,Not Yet Rated,,56465.0,99999.0
18,3 Days,2014.0,"Action, Thriller, Drama","Political,, Bodyguard Male Lead,, Suspense",7.7,,"Park Yoo Chun, Son Hyun Joo, Park Ha Sun, So Yi Hyun, Yoon Je Moon, Choi Won Young",https://i.mydramalist.com/5vx8Ac.jpg?v=1,,,,,,16.0,,,,,"SBS World, Viki",Not Yet Rated,"The President of South Korea goes on holiday at a private villa. In the middle of the night, three gunshots are fired, and the president goes missing. His bodyguards, led by elite agent Han Tae Kyung, have three days to find the president and escort him safely back to the Blue House. ,",,
19,300 Year-Old Class of 2020,2020.0,"Historical, Comedy, Fantasy","Miniseries,, Web Series,, Short Length Series,, Scholar Male Lead,, Naive Male Lead,, Time Travel,, Friendship,, ""Best Friends Relationship,"", Ignorant Male Lead,, Slight Romance",7.4,,"Choi Ji Su, Steven Noh, Han Se Jin, Ko Jae Hyun, Julien Kang",https://i.mydramalist.com/Ry5yz_4c.jpg?v=1,a79fe2763247414cb10c917a9e765b54,,['Hwang Da Seul'],South Korea,Drama,6.0,900.0,2020-12-21,2020-12-28,"Monday, Wednesday, Friday",Daum Kakao TV Naver TV Cast,15+ - Teens 15 or older,"The series is a fantasy comic web drama that tells a story of three students, who were studying in Seowon during the Joseon period accidently time travel and arrive at present-day Seowon in 2020.(Source: Korea Cultural Heritage Administration) ",6391.0,7130.0
20,365: Repeat the Year,2020.0,"Thriller, Mystery, Drama, Fantasy","Strong Female Lead,, Time Travel,, Nice Male Lead,, Suspense,, Murder,, Fate,, Supernatural,, Lying,, Bromance,, Strong Male Lead",8.6,,"Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun",https://i.mydramalist.com/kY6Wgc.jpg?v=1,587ac49da83e441f9d86935f23b74e94,['Kim Kyung Hee'],"['Lee Seo Yoon', 'Lee Soo Kyung']",South Korea,Drama,24.0,2100.0,2020-03-23,2020-04-28,"Monday, Tuesday",MBC,15+ - Teens 15 or older,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.Ji Hyung Joo is a detective in the violent crimes division. He used to be part of the traffic police but was promoted when he arrested a wanted criminal.It's been seven years since the change, and he's a talented individual who always knows how to relax. Though he is happy at first to have the chance to go back in time by one year and ""reset"" his life, he begins to search for the truth when a series of mysterious events befall the group of people he goes back in time with.(Source: Soompi, MBC)~~ Adapted from the novel “Repeat"" by Inui Kurumi.",413.0,480.0
21,38 Task Force,2016.0,"Mystery, Comedy, Crime, Drama","Smart Male Lead,, Scheme,, Corruption,, Teamwork,, Fraud,, Bromance,, Social Satire,, Social Commentary,, Money-Obsession,, Nice Male Lead",8.1,,"Ma Dong Seok, Seo In Guk, Choi Soo Young, Song Ok Sook, Heo Jae Ho, Go Gyu Pil",https://i.mydramalist.com/55VAec.jpg?v=1,701a7aa915da4f4ea96f5006308a4e76,['Han Dong Hwa'],['Han Jung Hoon'],South Korea,Drama,16.0,3840.0,2016-06-17,2016-08-06,"Friday, Saturday",OCN,15+ - Teens 15 or older,"A special task force will mix cops and criminals in order to catch bad guys, but this time the good-bad guys will be con artists who use their skills of fraud and deception in order to help catch tax evaders.While the working class faithfully pays its taxes, the wealthiest elite uses elaborate schemes to get out of paying their fair share of taxes. Righteous Baek Sung Il is a civil service employee who works as the Division 3 Chief at the National Tax Service who becomes fed up with the wealthiest citizens circumventing Article 38, which governs tax payments. Under pressure from his bosses to increase his division’s delinquent tax collections, Sung Il tries to go after the largest tax evader in the country, Ma Jin Seok, a shady Gangnam businessman who owes the country an estimated $50 million in back taxes. But when Sung Il and his faithful subordinate Chun Sung Hee are humiliated by Jin Seok and faced with possible disciplinary action, Sung Il realizes that he needs help going after the corrupt businessman. He accepts the help of professional scammer Yang Jung Do to beat Jin Seok at his own game.",1686.0,697.0
22,"380,000 km Between You and Me",2019.0,,,,,,,34d11fad9053424a82a77f58f20298cf,,,South Korea,Drama,9.0,900.0,2019-01-04,2019-03-01,Friday,vLive,G - All Ages,"From a tutor to a school senior, From senior to boyfriend????Twenty-year-old earth wishing moon.The first love for the first love, the great operation! ",43412.0,99999.0
23,4 Kinds of House,2018.0,"Music, Comedy, Romance, Life","Cohabitation,, Cross-Dressing,, Web Series,, Miniseries,, Chef Female Lead,, Enemies To Lovers,, Friendship,, Food",7.4,,"Zuny, Lee Jae Jin, Nam Yoon Su, Nam Yi An, Lee Sang, Choi Min Hwan",https://i.mydramalist.com/AYNE8c.jpg?v=1,e5299414cd7d44248313128fd2d731bd,,,South Korea,Drama,4.0,1800.0,2018-01-29,2018-01-31,Monday,MBC every1 Naver TV Cast,Not Yet Rated,"Web drama, '4 Kinds of House' is a drama based on the stories of people who are used to living alone living in a shared home and opening  up on their feelings and finding true love.When Na Yoon loses her apartment, she pretends to be her cousin in order to move into an all-male sharehouse who turns out to be owned by the idol Sun Min, known for his difficult personality and temper. As the rooms get occupied, they all change each others' lives.",6077.0,4202.0
24,4 Reasons Why I Hate Christmas,2019.0,"Comedy, Romance, Drama","Web Series,, Short Length Series,, ""Co-workers Relationship,"", Break Up,, Christmas Setting,, Winter Setting,, Miniseries,, Cold Male Lead,, Multiple Couples,, Youth",7.5,,"Park Shi An, Moon Sang Min, Jung Hwi Young, Jin Ye Ju, Min Do Hee, Jeon Hye Yeon",https://i.mydramalist.com/64KE0c.jpg?v=1,b5fb6c7bf2b242ca831f2a7c37580be8,['Yoo Hee Woon'],['Bang Yoo Jung'],South Korea,Drama,6.0,960.0,2019-12-07,2019-12-25,"Wednesday, Saturday",Naver TV Cast vLive,15+ - Teens 15 or older,A web-drama about 4 young adults who hate Christmas who meet by chance and spend the month of December together. They unexpectedly become a part of each others lives as Christmas nears. ,5422.0,3709.0
25,49 Days,2011.0,"Romance, Drama, Melodrama, Supernatural","Coma,, Second Chance,, Death,, Car Accident,, Naive Female Lead,, Flashback To Past,, Depression,, Tragic Past,, Multiple Mains,, Fate",8.3,,"Lee Yo Won, Nam Gyu Ri, Jung Il Woo, Jo Hyun Jae, Bae Soo Bin, Seo Ji Hye",https://i.mydramalist.com/96Y2ac.jpg?v=1,,,,,,20.0,,,,,SBS World,15+ - Teens 15 or older,"Shin Ji Hyun was enjoying absolute bliss as she was about to marry her fiancé, Kang Min Ho, but her perfect life is shattered when she gets into a car accident that leaves her in a coma. She is given a second chance at life by a person called The Scheduler, but it comes with a condition: she has to find three people outside of her family who would cry genuine tears for her. In order to do this, she borrows the body of Yi Kyung, a part-time employee at a convenience store for 49 days. , for her. In order to do this, she borrows the body of Yi Kyung, a part-time employee at a convenience store for 49 days. ",,
26,72 Seconds,2015.0,,,,,,,8b1ca0b243944ecb85227b0b3a53d568,['Jin Kyung Hwan'],,South Korea,Drama,8.0,120.0,2015-05-13,2015-06-04,"Wednesday, Thursday",,15+ - Teens 15 or older,"Strange and hilarious, and heartwarming in turns, this Korean series of shorts plunges you deep into the everyday awkwardness of a single guy struggling to adult successfully.(Source: AsianCrush) ",53649.0,99999.0
27,72 Seconds Season 2,2015.0,,,,,,,ceb9dfcfb84d48aab2a822e080fc14c6,['Jin Kyung Hwan'],,South Korea,Drama,8.0,120.0,2015-07-20,2015-08-05,"Monday, Wednesday, Friday",,15+ - Teens 15 or older,,54245.0,99999.0
28,72 Seconds Season 3,2016.0,,,,,,,ca9bdb1e078c4bfaae30d4222b101754,['Jin Kyung Hwan'],,South Korea,Drama,8.0,120.0,2016-03-29,2016-04-26,"Tuesday, Thursday",,15+ - Teens 15 or older,,54979.0,99999.0
29,7th Grade Civil Servant,2013.0,"Action, Comedy, Romance","National Intelligence Service,, Rivals To Lovers,, Spy,, Second Chance,, Rich Male Lead",6.9,,"Joo Won, Choi Kang Hee, Kim Min Seo, Hwang Chan Sung, Noh Young Hak, Choi Jong Hwan",https://i.mydramalist.com/M7EkLc.jpg?v=1,,,,,,20.0,,,,,GMM25Thailand,15+ - Teens 15 or older,"Two wannabe spys break up when one of them gets fired. Years later, both end up being spies working for different units, so they have to keep their covers up in real life. Gil Ro use his real identity, hence why he was seemingly fired, to spy on his rich father. So, when Kim Seo Won appears as a new employee, he wonders if she really is just a doppleganger of the woman he loved. , woman he loved. ",,
30,88 Street,2016.0,,,,,,,be79a2dbfde94f0986def22a8549b97c,,,South Korea,Drama,12.0,600.0,2016-10-17,2016-11-04,"Monday, Tuesday, Thursday, Friday",Naver TV Cast,Not Yet Rated,"Marco, a guy living with a trauma from a dead girlfriend, is a psychiatrist who treats students living on the 88th street. The drama shows how Marco helps students get over their traumas and make connections with others and the world again. ",56751.0,11471.0
31,9 End 2 Outs,2007.0,"Comedy, Romance, Life, Drama","Friendship,, Cohabitation,, Ex-girlfriend Comes Back,, Slow Burn Romance,, Nice Female Lead,, Heartbreak,, Character Development,, Baseball,, Unrequited Love,, Love Triangle",7.4,,"Park Soo Ae, Lee Jung Jin, Lee Tae Sung, Im Yoon Ah, Lee Sang Woo, Son Jung Min",https://i.mydramalist.com/O8mxbc.jpg?v=1,,,,,,16.0,,,,,옛드 : 옛날 드라마 드라맛집,15+ - Teens 15 or older,"""Hong Nan Hee is an ordinary worker at a publishing firm. Shes a girl who always falls in and out of love ever since she was young. Nan Hee has a best friend in her former classmate & childhood friend, Byun Hyung Tae, who has always been there for her through her ups-and-downs and relationship breakups. After a particularly bad breakup with her much-younger boyfriend, Nan Hee moves into Hyung Taes apartment to escape from her mothers nagging. There, she slowly discovers more sides to Hyung Tae than she thought she knew, and as the both of them spend more time with each other, different sorts of feelings begin to grow. "", "" to escape from her mothers nagging. There, she slowly discovers more sides to Hyung Tae than she thought she knew, and as the both of them spend more time with each other, different sorts of feelings begin to grow. """,,
32,9 Seconds: Eternal Time,2015.0,"Romance, Life, Drama, Supernatural","Web Series,, Miniseries,, Blindness,, Photography,, Time Manipulation,, High School,, Student Female Lead,, Student Male Lead,, ""Neighbors Relationship,"", Orphan Male Lead",7.5,,"Lee Joo Seung, Na Hae Ryung, Lee Jae Hyung, Fujii Mina, Park Lydia, Son Sung Chan",https://i.mydramalist.com/YEx2Wc.jpg?v=1,eef13e61328646c8b97530339bc4c0c1,['Park Chan Yool'],,South Korea,Drama,7.0,900.0,2015-09-30,2015-10-03,"Wednesday, Thursday, Friday, Saturday",Naver TV Cast,Not Yet Rated,"Upon a chance meeting at a neighborhood photo studio, Yoo So Ra and Kang Yoo Chan develop a picture-perfect romance with the help of a magical camera that can freeze time. At first the camera seems like a game, but it begins to take on a whole new meaning as they face hardships that might cut their growing love and youth short. ",5758.0,2704.0
33,90 Days of Love,2006.0,"Romance, Drama, Melodrama","Star Crossed Lovers,, Taboo,, Forbidden Love,, Failing Marriage,, Social Issues,, Tearjerker,, Infidelity,, Terminal Illness,, Nice Male Lead,, Incest",6.9,,"Kang Ji Hwan, Kim Ha Neul, Yoon Hyun Sook, Ha Jae Young, Choi Sung Ho, Kim Hyung Beom",https://i.mydramalist.com/O8zP3c.jpg?v=1,,,,,,16.0,,,,,Viki,15+ - Teens 15 or older,"""A fate that surpasses taboo, a love that surpasses morality... Hyun Ji Seok is at the peak of his life at thirty-one year old as he is fated to leave this earth in three short months. He is married to Park Jung Ran, but its not her who is his true love. The one and only thing this man wishes for is to find his one true love and spend the remaining 90 days that he has left with her. Hyun Ji Seok was fated to meet Mi Yeon, but their hearts were destined to be broken in the end. Through an unexpected turn of events, Mi Yeon turns out to be his first cousin. They are now desperately pleading for 90 days in which to love each other for the last time on earth. Will their love be able to overcome the harsh realities of society? "", 90 days that he has left with her. Hyun Ji Seok was fated to meet Mi Yeon, but their hearts were destined to be broken in the end. Through an unexpected turn of events, Mi Yeon turns out to be his first cousin. They are now desperately pleading for 90 days in which to love each other for the last time on earth. Will their love be able to overcome the harsh realities of society? ",,
34,A Beautiful Mind,2016.0,"Mystery, Psychological, Romance, Medical","Antisocial Personality Disorder,, Eccentric Male Lead,, Father-Son Relationship,, Surgeon Male Lead,, Emotional Blunting,, Investigation,, Hospital Setting,, Cold Man/Warm Woman,, Slow Burn Romance,, Character Development",8.2,,"Jang Hyuk, Park So Dam, Yoon Hyun Min, Park Se Young, Heo Joon Ho, Kim Jong Soo",https://i.mydramalist.com/b2D5wc.jpg?v=1,ea46118bcd104fa7a28acc89061bd3bf,"['Mo Wan Il', 'Lee Jae Hoon']",['Kim Tae Hee'],South Korea,Drama,14.0,3600.0,2016-06-20,2016-08-02,"Monday, Tuesday",KBS2,15+ - Teens 15 or older,"Lee Yeong Oh is a genius neurosurgeon who just came back to Korea after finishing his studies abroad. He now works with his father, Lee Gun Myung, who is the head of the cardio-cerebrovascular center at Hyunsung hospital. However, Yeong Oh lacks empathy towards his patients due to his antisocial personality disorder.One day, traffic policewoman Gye Jin Sung sees a murder in front of her, which was disguised as a traffic accident. She rushes the victim to Hyunsung hospital, where her crush Surgeon Hyun Suk Joo, of the cardiothoracic section, and Surgeon Yeong Oh operate on him. Unfortunately, the patient dies and she starts suspecting Surgeon Yeong Oh of foul play. Meanwhile, a series of bizarre patient deaths start occurring at the hospital and Yeong Oh starts investigating it.(Source: MyDramaList)",1265.0,438.0
