,title,year,kdrama_id,director,screenwriter,start_dt,end_dt,synopsis,tot_eps_boxcox,duration_boxcox,rank_boxcox,pop_boxcox,music_score_boxcox,story_score_boxcox,acting_cast_score_boxcox,rewatch_value_score_boxcox,overall_score_boxcox,n_helpful_boxcox,pop_std,n_helpful_std,pop_minmax,n_helpful_minmax,content_rt_15+ - Teens 15 or older,content_rt_18+ Restricted (violence & profanity),content_rt_G - All Ages,content_rt_Not Yet Rated,content_rt_R - Restricted Screening (nudity & violence),Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1060,Alchemy of Souls,2022,c068c66062ad4822bfc94e93377ac2df,['Park Joon Hwa'],"['Hong Jung Eun', 'Hong Mi Ran']",6/18/2022,8/28/2022,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny.(Source: Soompi; The Korea Herald)",2.108305895962314,678.1049694692978,3.595061648218291,7.514947456138178,92.14575224905136,57.26365574753497,1146.296052034861,12.70577093212356,94.42353503764585,3.5626346502296933,-0.8761079640410502,3.8915441979059104,0.005382063958946116,0.4746835443037975,True,False,False,False,False,True,False,False,False,False,False,True
1061,Alchemy of Souls Season 2: Light and Shadow,2022,eb312ec94d314c86a2b2b2f1e2b2e159,"['Park Joon Hwa', 'Bae Hyun Jin']","['Hong Jung Eun', 'Hong Mi Ran']",12/10/2022,1/8/2023,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.(Source: Netflix) ",1.7504957783346722,684.3173111446075,4.709566019988789,9.937294015573183,57.56072039273537,12.63800029781583,408.63845001286194,2.366447907442864,27.8032818651519,3.644685761076601,-0.8418570393217153,4.509359636016402,0.01257900995056011,0.5379746835443038,True,False,False,False,False,True,False,False,False,False,False,True
1062,Love in Spring,2022,bfd65f7065e14ea5899e81515fc1309b,['Lee Chang Han'],Others,5/18/2022,7/6/2022,"Jin Geum Seong is a poor nobleman who lives with his mother and making ends meet is challenging. While gathering wood on the mountain, he spies a woman swimming nearby. Believing she is about to take her life, he creates a disturbance allowing him to save Choi Hye Seong, the third daughter of Choi Jin Sa. Only things are not as they seem when she turns out to be a man named 'Salbyul,' Love will bloom between Hye Seong and Geum Seong, much like a flower on a warm spring day. (Source: BLupdate2020 Instagram)~~ Adapted from the webtoon of the same title by Noh Myung Hee (노명희).",1.9998129521799661,296.8646650316381,12.864499886770474,19.76325086982666,61.61924451096899,35.08384404709329,742.5185736285688,6.983266581770731,61.522836759834746,1.6500013972850192,-0.24678445158927156,-0.43316386886753233,0.13761812378747104,0.03164556962025317,False,False,False,False,False,False,False,False,True,False,False,False
1063,"Alice, the Final Weapon",2022,019ae37024fe413289e79abe5896a6e2,Others,Others,6/24/2022,7/8/2022,"Gyeo Wool might look like just another normal high school student but in reality, she harbors a dark secret: she’s actually a trained killer. Posing as a transfer student to hide her true identity, Gyeo Wool does her best to blend in, but it’s not easy. Especially not after she meets Yeo Reum.Unlike his classmates, Yeo Reum spends most of his life feeling nothing at all. Having experienced extreme trauma in the past, Yeo Reum is only able to feel alive when he’s in pain. Accepting pain as his only connection to a “normal” life, Yeo Reum has no problem getting involved in Gyeo Wool’s life, especially not once he realizes there’s something very different about her.Though neither expected to be involved in each other’s lives, Gyeo Wool and Yeo Reum have no choice but to stay together after a criminal organization begins to hunt them down. Will this unlikely duo prove victorious in an increasingly deadly game of cat and mouse?(Source: Viki)",1.6214683827968448,369.4286322814954,11.243624643446278,19.970664624372542,49.93291474772914,38.78504260223717,645.0847085446507,7.192921445202213,61.522836759834746,1.494428081264169,-0.22057504832578054,-0.49494541267858155,0.1431253520245322,0.025316455696202535,False,False,False,True,False,False,False,False,False,False,True,False
1064,My Chilling Roommate,2022,8a17456abb36462eaafac464ae6a6151,['Hwang  Gyung Sung'],Others,9/16/2022,9/16/2022,"As a young child, Jung Se Ri made a shocking discovery – that ghosts are very real! The thing is, only she seems to be able to see them. Not only that she also has the ability to converse with spirits, and has learned. She knows how and why ghosts appear, and why they so often “haunt” the spots where they died. Her special talent has remained a tightly guarded secret and now she is an adult, she works part-time in a coffee shop. Until, that is, she encounters the most unusual ghost she has ever met!This ghost is named Song Ji Chan, and until he was suddenly killed in an accident, he was the arrogant heir to a highly successful and wealthy business group. The accident, he thinks, has robbed him of his memories and leaves him hanging around the scene, wondering what has happened. But when he comes across Jung Se Ri, she tells him that he is a ghost. She leaves him to get his head around what has happened, but he follows her home, insisting he has nowhere else to go. She reluctantly lets him stay at her house, and even starts to help him uncover the truth about what happened to him – even if it means she has to become involved in the business group’s operations! But could this ghoulish “roommate” also fall for the only woman who can see him?(Source: Viki)",1.7504957783346722,197.9470388656402,12.858458736395113,26.840578832340775,22.069898547439156,17.09764163647207,228.32285845417735,0.0,18.13191420119174,0.6712093555111057,1.23047282326204,-0.6802900441117291,0.44802553351273544,0.006329113924050633,False,False,False,False,False,False,False,False,False,False,False,False
1065,Welcome to Wedding Hell,2022,403f8335e046472bab7ef42097a30e3d,"['Seo Joo Wan', 'Song Je Young']",['Choi I Rang'],5/23/2022,6/15/2022,"A relatable tale about a couple in their30s preparing for marriage. Expecting a fairy tale ending, the reality proves to be somewhat different. From the meeting of their families to finding a house, planning for their big day has the couple facing some realistic issues. (Source: Soompi || Edited by MyDramaList) ",1.8507029406749629,392.45640953229355,12.808473611306399,19.622961524998036,32.18369611888021,28.295839228579784,478.7806028940693,2.0564090911300044,32.08446511419655,1.6500013972850192,-0.2640588310129361,-0.43316386886753233,0.1339883597221353,0.03164556962025317,True,False,False,False,False,False,True,True,True,False,False,False
1066,Yumi's Cells Season 2,2022,66cdb2b54d7f4d108a6968e308b2d27f,['Lee Sang Yeob'],"['Song Jae Jung', 'Kim Yoon Joo', 'Kim Kyung Ran']",6/10/2022,7/22/2022,"After suffering a painful breakup, Yu Mi’s love cells have shut down completely, but a chance meeting with the emotionally stunted game designer, Goo Woong, changes all of that. Waking up a number of each other’s cells, Yu Mi and Goo Woong find themselves drawing closer, but even with the revival of their long-dormant love cells, their relationship wasn’t destined to last. Now a much wiser and more mature individual, Yu Mi finds herself willing to take on a set of challenges after an unexpected source of inspiration ignites her internal fire. Inspired by her co-worker, Bobby Yoo, Yu Mi and her hard-working cells set out to make all of her dreams come true. (Source: Viki)~~ Adapted from the webtoon ""Yumi's Cells"" (유미의 세포들) by Lee Dong Geon (이동건).",1.9319343315418784,582.2174353230909,8.743470521994134,13.783635263550297,94.80163172342591,42.69459461904976,1011.4986701042783,7.832141693297805,68.36450505019582,2.3392580830194145,-0.7239147246360057,0.06108848162086112,0.03736153701733525,0.08227848101265822,True,False,False,False,False,False,False,False,False,False,True,False
1067,To My Star Season 2: Our Untold Stories,2022,02969507328442baa65e04c8c64bf2ce,['Hwang Da Seul'],['Park Young'],6/5/2022,7/3/2022,"After his career took a steady turn for the worse, one of South Korea’s brightest stars, Kang Seo Joon, was afraid he might never be happy again. But after a chance meeting brings the talented chef Han Ji Woo into his life, Seo Joon is certain his luck is about to change.Despite their differences in personality, the chef and the celebrity found themselves unable to resist the other’s charms. Head-over-heels for each other, Seo Joon and Ji Woo believed they had finally found their happily ever after. But their happiness turns out to be short-lived when one of them disappears, leaving nothing but a note behind.Lost without the other, will these two star-crossed lovers find a way back to each other or has their fairy tale romance truly come to an end?(Source: Viki)",1.7504957783346722,288.4169557156745,9.67298876962496,13.763653033630762,68.01913904449289,37.528288387884956,1099.9827580235515,6.983266581770731,70.74295853706205,3.172128524797374,-0.7248082270199884,1.8527532521412875,0.037173790600162716,0.2658227848101266,True,False,False,False,False,True,False,False,False,False,False,False
1068,Love in Contract,2022,5e08349df91145d9baa6162f7479e28d,['Nam Sung Woo'],['Ha Gu Dam'],9/21/2022,11/10/2022,"Undeniably attractive, talented, and charming, Choi Sang Eun is the living definition of the perfect partner. This is exactly why instead of marrying, she chooses to employ her skills as a contract marriage master. Transforming herself into the perfect partner for each of her clients, Sang Eun allows those who employ her services to live the perfect single life, without having to agree to a committed, life-long relationship. A long-term client, Jung Ji Ho has been using Sang Eun’s services every Monday, Wednesday, and Friday, for the past five years. A man shrouded in mystery, Sang Eun knows virtually nothing about Ji Ho but that doesn’t stop her from developing some rather unexpected feelings for him. Making her life even more difficult are the equally unexpected feelings she’s recently developed for one of her newest clients, Kang Hae Jin. A popular actor who employs her services on Tuesdays, Thursdays, and Saturdays, Hae Jin often makes Sang Eun’s heart flutter.Torn between her professional obligations and the feelings she harbors for both Ji Ho and Hae Jin, Sang Eun finds herself in an unexpected predicament. How can she possibly maintain her professionalism when her heart is leading her in two different directions?(Source: Viki)",1.9998129521799661,582.2174353230909,11.373867679603539,11.680747676833823,28.126332648484773,14.042766130793586,366.2791170896749,1.190407543291324,32.08446511419655,2.650308110019695,-0.8004580955305193,0.49355928829820545,0.021277927279554413,0.12658227848101264,True,False,False,False,False,False,False,False,True,True,False,False
1069,Mimicus,2022,29615f35297a42ee848a84cdc941da60,['Han Soo Ji'],"['Choi Sung Wook', 'Jan Jin']",7/22/2022,9/14/2022,"Students at an arts high school strive to prove that they are the “real deal” amidst a culture where mimicking one another is the norm.Han Yoo Sung is a cold-hearted and upright son of a wealthy family who seems to have grown up in a bubble. But little do others know that underneath his prickly exterior is a student who is itching to show off his talents. He despises mimicking others or being mimicked himself, but he gets wrapped up in a strange rumour that claims he has been copying Ji Soo Bin, a famous trainee at a major entertainment company.Ji Soo Bin is the son of an entertainment company executive who is in the spotlight for being a famous trainee. Despite receiving so much attention, he is a mysterious character who actually has a secret he strives to keep under cover.Oh Ro Si is the center and the youngest member of the girl group ICE. Although she is loved for her amicable and easy-going personality, she receives poor treatment from her fellow members. When returning to school after her idol activities, she aims to find her own sense of identity.Shin Da Ra is a student who runs her own YouTube channel with videos documenting her daily life at the arts high school. She hates being alone and wants everyone to adore her. Shin Da Ra used to believe that friendship is defined by mimicking the person she likes, but she is challenged to rethink her approach after befriending Oh Ro Si and Han Yoo Sung.",1.9998129521799661,244.7114625217732,11.684896182644739,21.12603911317935,77.1465031054808,65.45511920157855,888.7278796363591,12.70577093212356,103.25495958195306,1.0441832158964832,-0.05914895095291542,-0.6185085003006799,0.17704487139370423,0.012658227848101267,True,False,False,False,False,False,False,False,True,False,True,False
